"status","spc_latin","spc_common","boroname","latitude","longitude"
"Alive","Quercus bicolor","swamp white oak","Bronx","40.85893409","-73.8973743"
"Alive","Tilia cordata","littleleaf linden","Bronx","40.85058609","-73.88704215"
"Alive","Tilia cordata","littleleaf linden","Bronx","40.85588458","-73.88432416"
"Alive","Styphnolobium japonicum","Sophora","Bronx","40.83314882","-73.90650767"
"Alive","Quercus alba","white oak","Bronx","40.83875947","-73.87000903"
"Alive","Styphnolobium japonicum","Sophora","Bronx","40.85843815","-73.88818301"
"Alive","Liquidambar styraciflua","sweetgum","Bronx","40.84770386","-73.89004293"
"Alive","Acer rubrum","red maple","Bronx","40.83271303","-73.89270803"
"Alive","Acer saccharinum","silver maple","Bronx","40.83279427","-73.92685206"
"Alive","Prunus","cherry","Bronx","40.86067252","-73.89478581"
"Alive","Prunus","cherry","Bronx","40.8533234","-73.90205488"
"Alive","Prunus","cherry","Bronx","40.85378242","-73.88650579"
"Alive","Carpinus caroliniana","American hornbeam","Bronx","40.83756448","-73.86706213"
"Alive","Carpinus caroliniana","American hornbeam","Bronx","40.90249436","-73.86830283"
"Alive","Ulmus pumila","Siberian elm","Bronx","40.85009114","-73.92234339"
"Alive","Ulmus pumila","Siberian elm","Bronx","40.82438002","-73.89740551"
"Alive","Tilia cordata","littleleaf linden","Bronx","40.85799078","-73.90721817"
"Alive","Cornus mas","Cornelian cherry","Bronx","40.85473458","-73.89894462"
"Alive","Quercus bicolor","swamp white oak","Bronx","40.85352712","-73.89426572"
"Alive","Tilia tomentosa","silver linden","Bronx","40.83683192","-73.86916163"
"Alive","Pyrus calleryana","Callery pear","Bronx","40.87319139","-73.88074493"
"Alive","Aesculus hippocastanum","horse chestnut","Bronx","40.86960846","-73.90195637"
"Alive","Tilia cordata","littleleaf linden","Bronx","40.86913358","-73.88156037"
"Alive","Tilia cordata","littleleaf linden","Bronx","40.87001598","-73.88181302"
"Alive","Tilia cordata","littleleaf linden","Bronx","40.89911011","-73.8489634"
"Alive","Quercus acutissima","sawtooth oak","Bronx","40.86154639","-73.89610473"
